Sale_ID,Listing_ID,Sale_Date,Sale_Price,Days_On_Market
SAL0042,LST0194,2024-04-01,35523602,5
SAL0043,LST0114,2024-07-22,17067017,60
SAL0044,LST0459,2023-11-08,14231858,7
SAL0045,LST0054,2022-10-18,11959285,136
SAL0046,LST0401,2024-04-29,52982652,139
SAL0047,LST0481,2024-06-16,21240629,61
SAL0048,LST0090,2022-09-10,7521086,73
SAL0049,LST0270,2023-07-10,32173018,48
SAL0050,LST0373,2024-09-27,35120046,141
SAL0051,LST0449,2023-08-22,11956563,15
SAL0052,LST0157,2023-08-22,21622531,76
SAL0053,LST0302,2023-04-09,13902006,74
SAL0054,LST0492,2023-01-07,22313043,18
SAL0055,LST0414,2023-12-23,3094477,68
SAL0056,LST0251,2022-03-11,38247635,58
SAL0057,LST0049,2023-02-19,25622985,5
SAL0058,LST0271,2023-04-19,19888491,166
SAL0059,LST0179,2023-09-06,8536285,99
SAL0060,LST0359,2023-10-31,6270776,145
SAL0061,LST0293,2022-04-28,38163834,39
SAL0062,LST0145,2023-03-11,76210729,161
SAL0063,LST0283,2022-04-06,14487137,19
SAL0064,LST0482,2023-04-16,22473785,7
SAL0065,LST0312,2023-09-03,94958704,61
SAL0066,LST0460,2023-07-16,7329259,76
SAL0067,LST0025,2022-01-19,45784044,9
SAL0068,LST0088,2023-08-26,17519284,154
SAL0069,LST0163,2022-10-22,81138158,102
SAL0070,LST0385,2022-09-30,8632278,70
SAL0071,LST0200,2022-11-04,16535767,167
SAL0072,LST0093,2023-01-24,11079793,57
SAL0073,LST0177,2023-08-13,10571381,61
SAL0074,LST0413,2022-05-27,7771986,57
SAL0075,LST0380,2022-08-17,11937256,106
SAL0076,LST0348,2022-07-19,38961408,64
SAL0077,LST0489,2024-01-07,27928273,116
SAL0078,LST0480,2024-01-31,67401885,127
SAL0079,LST0438,2023-06-06,27539591,51
SAL0080,LST0305,2024-05-23,30976497,50
SAL0081,LST0207,2023-10-31,46488866,130
SAL0082,LST0245,2023-04-03,7076547,51
SAL0083,LST0304,2023-10-04,25283935,10
SAL0084,LST0066,2023-08-19,20326696,50
SAL0085,LST0133,2023-02-28,31870336,180
SAL0086,LST0005,2022-06-28,25313706,22
SAL0087,LST0352,2022-09-15,11437193,114
SAL0088,LST0263,2024-07-04,27861390,170
SAL0089,LST0366,2022-03-17,49429523,30
SAL0090,LST0080,2023-11-16,14848410,40
SAL0091,LST0499,2024-06-08,43837450,8
SAL0092,LST0065,2024-01-14,30999026,101
SAL0093,LST0074,2023-04-14,31443324,33
SAL0094,LST0457,2022-10-31,34134396,169
SAL0095,LST0291,2024-01-17,32841587,38
SAL0096,LST0377,2022-09-26,85658091,26
SAL0097,LST0137,2022-09-05,8073972,165
SAL0098,LST0028,2023-11-18,80281604,7
SAL0099,LST0372,2024-03-21,43464109,32
SAL0100,LST0473,2023-02-17,4022631,91
SAL0101,LST0190,2022-04-01,12425245,26
SAL0102,LST0363,2024-07-15,10010133,127
SAL0103,LST0128,2024-09-20,34419754,118
SAL0104,LST0425,2023-12-08,28281907,83
SAL0105,LST0436,2024-07-18,19342171,44
SAL0106,LST0493,2023-12-21,12908269,144
SAL0107,LST0362,2024-06-02,6984560,165
SAL0108,LST0235,2024-06-17,25863976,10
SAL0109,LST0094,2023-03-31,76135168,31
SAL0110,LST0225,2023-08-26,45329813,31
SAL0111,LST0182,2024-08-24,5293954,111
SAL0112,LST0240,2023-09-30,31775749,62
SAL0113,LST0258,2023-06-24,9221685,114
SAL0114,LST0147,2023-06-09,22336732,95
SAL0115,LST0142,2024-08-14,9168846,62
SAL0116,LST0220,2022-07-23,23895978,180
SAL0117,LST0267,2022-09-30,4538666,33
SAL0118,LST0368,2024-02-10,10572546,33
SAL0119,LST0118,2024-04-06,5582511,77
SAL0120,LST0450,2022-12-10,21453303,162
SAL0121,LST0326,2023-10-10,9413555,97
SAL0122,LST0045,2023-09-12,12193881,26
SAL0123,LST0381,2022-11-07,93028640,159
SAL0124,LST0476,2023-09-24,86900706,114
SAL0125,LST0161,2023-09-23,17805860,158
SAL0126,LST0047,2022-12-20,57838326,113
SAL0127,LST0325,2024-06-04,4772929,175
SAL0128,LST0041,2024-06-08,6398777,164
SAL0129,LST0483,2024-07-02,51232795,94
SAL0130,LST0123,2022-11-10,7571496,74
SAL0131,LST0048,2024-03-10,40215227,174
SAL0132,LST0085,2022-12-09,18371197,72
SAL0133,LST0295,2022-04-12,27098298,24
SAL0134,LST0030,2023-11-24,13641047,43
SAL0135,LST0044,2022-08-09,17320384,42
SAL0136,LST0387,2022-10-08,19933609,104
SAL0137,LST0284,2022-10-09,7370344,127
SAL0138,LST0253,2022-09-17,18208120,33
SAL0139,LST0461,2023-09-01,12979985,76
SAL0140,LST0218,2022-05-19,8043995,87
SAL0141,LST0347,2023-10-21,19708454,51
SAL0142,LST0261,2023-06-10,46444258,95
SAL0143,LST0070,2023-11-28,18101001,113
SAL0144,LST0246,2022-08-08,32619138,110
SAL0145,LST0255,2024-08-31,34016665,167
SAL0146,LST0264,2023-12-18,32189422,172
SAL0147,LST0478,2024-07-12,5019717,103
SAL0148,LST0360,2024-09-13,35011679,132
SAL0149,LST0423,2023-12-13,8445815,131
SAL0150,LST0454,2022-07-15,27683364,63
SAL0151,LST0208,2023-09-23,16531596,153
SAL0152,LST0008,2023-12-03,36670014,139
SAL0153,LST0316,2022-05-29,11367139,61
SAL0154,LST0098,2022-12-11,12872507,65
SAL0155,LST0004,2022-11-23,46502483,57
SAL0156,LST0361,2023-03-30,5465741,9
SAL0157,LST0274,2022-06-28,72603265,126
SAL0158,LST0428,2023-05-02,21414633,33
SAL0159,LST0126,2024-05-04,21686680,94
SAL0160,LST0339,2022-04-28,16195350,40
SAL0161,LST0443,2022-03-19,18441418,41
SAL0162,LST0396,2024-09-02,22665891,146
SAL0163,LST0022,2024-09-21,13540918,112
SAL0164,LST0311,2023-07-07,24818229,62
SAL0165,LST0230,2024-04-14,31831637,40
SAL0166,LST0087,2023-09-16,44011127,41
SAL0167,LST0269,2023-11-19,19710652,11
SAL0168,LST0463,2022-11-16,34214702,113
SAL0169,LST0453,2022-08-16,94545265,32
SAL0170,LST0039,2022-10-18,13682362,23
SAL0171,LST0188,2024-04-09,13566656,157
SAL0172,LST0069,2022-10-14,37353894,12
SAL0173,LST0355,2023-10-12,9346208,41
SAL0174,LST0181,2024-05-25,58148033,24
SAL0175,LST0027,2023-10-30,9230557,111
SAL0176,LST0217,2023-08-02,13133603,51
SAL0177,LST0254,2023-06-07,38826948,40
SAL0178,LST0487,2022-08-07,37056073,81
SAL0179,LST0433,2023-07-02,33672997,91
SAL0180,LST0192,2023-01-01,6342787,170
SAL0181,LST0058,2023-09-17,16461764,78
SAL0182,LST0174,2023-07-21,35801221,20
SAL0183,LST0398,2024-04-14,21348566,13
SAL0184,LST0277,2024-04-23,13292938,49
SAL0185,LST0061,2022-03-02,8399399,7
SAL0186,LST0149,2022-11-30,16843452,113
SAL0187,LST0154,2023-07-03,19983701,121
SAL0188,LST0248,2023-02-21,4390558,71
SAL0189,LST0151,2022-12-16,15608459,133
SAL0190,LST0136,2022-05-06,47021927,63
SAL0191,LST0110,2023-04-12,6513722,45
SAL0192,LST0002,2023-05-23,30042853,28
SAL0193,LST0292,2022-08-09,33834547,37
SAL0194,LST0202,2024-01-04,13834044,107
SAL0195,LST0112,2024-01-14,10949050,61
SAL0196,LST0378,2022-08-13,16886233,148
SAL0197,LST0455,2023-05-06,37625485,24
SAL0198,LST0019,2023-02-21,37175925,124
SAL0199,LST0238,2023-07-15,34229924,172
SAL0200,LST0250,2022-12-23,11739828,102
SAL0201,LST0367,2024-09-05,6303851,100
SAL0202,LST0183,2022-12-29,18195205,54
SAL0203,LST0346,2024-01-18,35488675,31
SAL0204,LST0236,2023-04-10,8747680,159
SAL0205,LST0474,2023-09-18,24889672,90
SAL0206,LST0153,2022-05-01,28981793,77
SAL0207,LST0390,2022-02-21,31434216,32
SAL0208,LST0055,2023-09-27,19094194,157
SAL0209,LST0003,2024-05-21,43314074,84
SAL0210,LST0180,2024-07-04,24962122,56
SAL0211,LST0096,2022-09-16,43198821,13
SAL0212,LST0206,2024-04-28,26496055,26
SAL0213,LST0294,2024-08-16,43126066,149
SAL0214,LST0415,2024-03-15,19929090,128
SAL0215,LST0052,2024-04-26,23043705,85
SAL0216,LST0221,2023-01-08,5832271,84
SAL0217,LST0252,2024-03-09,12950531,96
SAL0218,LST0102,2023-05-14,22282866,106
SAL0219,LST0412,2022-07-03,11719445,85
SAL0220,LST0340,2023-08-19,35789932,96
SAL0221,LST0418,2024-10-12,7674253,177
SAL0222,LST0491,2024-04-17,41794474,109
SAL0223,LST0211,2023-11-29,17344201,133
SAL0224,LST0354,2022-04-09,11619467,43
SAL0225,LST0301,2024-09-13,52754662,102
SAL0226,LST0298,2024-01-13,10343486,14
SAL0227,LST0411,2022-09-11,2269452,43
SAL0228,LST0129,2022-05-31,16327250,25
SAL0229,LST0333,2024-05-14,23508363,28
SAL0230,LST0241,2023-08-31,7318194,64
SAL0231,LST0203,2022-12-22,23548095,179
SAL0232,LST0321,2022-02-20,25764863,46
SAL0233,LST0314,2022-12-27,1550368,133
SAL0234,LST0187,2024-03-21,71232939,160
SAL0235,LST0431,2022-10-25,31703436,92
SAL0236,LST0392,2023-06-06,15608255,38
SAL0237,LST0138,2023-07-16,32022106,97
SAL0238,LST0056,2023-04-21,30390826,115
SAL0239,LST0391,2023-07-31,21872304,179
SAL0240,LST0496,2023-06-06,4349338,58
SAL0241,LST0083,2024-04-16,22072846,160
SAL0242,LST0072,2024-02-21,9673533,44
SAL0243,LST0288,2023-01-17,23784051,132
SAL0244,LST0488,2024-03-18,25531263,8
SAL0245,LST0308,2022-10-16,10352505,84
SAL0246,LST0092,2023-06-19,20836379,27
SAL0247,LST0227,2024-01-19,14959727,121
SAL0248,LST0257,2022-07-19,44152519,80
SAL0249,LST0388,2023-12-09,5236724,76
SAL0250,LST0435,2024-06-12,10616661,95
SAL0251,LST0029,2022-12-05,20440307,50
SAL0252,LST0444,2023-11-01,20686203,122
SAL0253,LST0073,2023-03-04,11952154,126
SAL0254,LST0011,2022-06-28,8216992,118
SAL0255,LST0035,2024-03-05,10149100,40
SAL0256,LST0422,2023-12-17,28788101,150
SAL0257,LST0108,2022-11-27,48883567,98
SAL0258,LST0191,2022-05-30,19204217,107
SAL0259,LST0369,2022-12-13,72013657,163
SAL0260,LST0231,2023-11-04,24277903,38
SAL0261,LST0009,2022-12-08,44474162,136
SAL0262,LST0042,2024-02-05,8064627,85
SAL0263,LST0469,2023-08-12,5730671,179
SAL0264,LST0465,2022-07-16,8202366,120
SAL0265,LST0371,2023-05-06,16167608,179
SAL0266,LST0448,2024-11-23,14438768,169
SAL0267,LST0329,2022-08-27,27921184,67
SAL0268,LST0031,2023-08-24,8548827,148
SAL0269,LST0244,2023-08-02,57690161,31
SAL0270,LST0342,2022-12-02,10478147,45
SAL0271,LST0462,2022-11-09,48756968,23
SAL0272,LST0484,2024-05-07,23558893,123
SAL0273,LST0205,2022-10-27,6796263,94
SAL0274,LST0175,2023-09-13,46038515,169
SAL0275,LST0299,2023-03-16,2505878,124
SAL0276,LST0033,2024-05-16,55104271,51
SAL0277,LST0494,2022-08-04,13489234,106
SAL0278,LST0193,2023-04-11,28820174,56
SAL0279,LST0196,2023-04-03,23591205,21
SAL0280,LST0430,2023-04-23,35620098,159
SAL0281,LST0103,2024-03-16,23458015,126
SAL0282,LST0446,2022-12-15,22826758,121
SAL0283,LST0471,2023-09-19,41179461,44
SAL0284,LST0400,2022-07-23,17429458,42
SAL0285,LST0216,2023-07-16,35720133,86
SAL0286,LST0212,2024-01-23,24294829,158
SAL0287,LST0100,2023-06-24,30478128,20
SAL0288,LST0475,2023-05-07,33977921,97
SAL0289,LST0276,2024-06-04,18208823,126
SAL0290,LST0403,2023-01-20,2501704,59
SAL0291,LST0452,2023-10-31,13839389,180
SAL0292,LST0394,2023-04-12,59063302,69
SAL0293,LST0441,2023-11-25,47310801,26
SAL0294,LST0402,2023-01-12,25477918,75
SAL0295,LST0089,2024-02-11,5251225,81
SAL0296,LST0219,2023-12-13,28164243,120
SAL0297,LST0275,2024-05-30,62670978,139
SAL0298,LST0197,2024-05-31,14802361,71
SAL0299,LST0176,2023-09-30,15193875,18
SAL0300,LST0397,2024-01-01,2491677,114
SAL0301,LST0486,2024-07-27,11489713,81
SAL0302,LST0319,2023-10-22,18964615,94
SAL0303,LST0322,2022-11-26,12837247,128
SAL0304,LST0485,2023-03-25,14076160,46
SAL0305,LST0383,2024-07-17,9341320,116
SAL0306,LST0189,2024-09-11,22848313,151
SAL0307,LST0256,2023-07-22,4890866,7
SAL0308,LST0306,2024-05-18,21693025,157
SAL0309,LST0297,2023-07-19,27115607,175
SAL0310,LST0470,2022-06-27,14624754,42
SAL0311,LST0313,2023-10-25,32541405,86
SAL0312,LST0125,2023-03-10,13908152,122
SAL0313,LST0338,2024-06-30,32256029,132
SAL0314,LST0210,2022-09-22,34909288,34
SAL0315,LST0317,2023-12-12,29769861,177
SAL0316,LST0159,2023-12-17,29155144,138
SAL0317,LST0420,2022-10-19,43323667,120
SAL0318,LST0131,2022-10-03,16907437,37
SAL0319,LST0370,2024-10-30,42079250,168
SAL0320,LST0345,2022-10-13,10059128,29
SAL0321,LST0259,2024-03-27,36200742,53
SAL0322,LST0300,2023-12-14,29027354,144
SAL0323,LST0068,2024-04-04,25505760,158
SAL0324,LST0327,2023-02-21,9196841,94
SAL0325,LST0393,2022-11-22,22855949,53
SAL0326,LST0384,2024-05-04,43564062,152
SAL0327,LST0237,2023-08-14,31344379,99
SAL0328,LST0122,2022-05-16,4030778,9
SAL0329,LST0426,2023-02-27,23042319,83
SAL0330,LST0228,2023-06-22,42261013,36
SAL0331,LST0447,2023-10-08,19216343,171
SAL0332,LST0375,2022-12-14,8302615,110
SAL0333,LST0249,2023-05-26,59916535,95
SAL0334,LST0152,2022-10-21,43978220,114
SAL0335,LST0490,2023-01-27,26806798,90
SAL0336,LST0432,2024-06-12,8824777,50
SAL0337,LST0331,2023-10-19,7455440,100
SAL0338,LST0059,2023-09-22,13749983,157
SAL0339,LST0233,2023-08-22,29914047,116
SAL0340,LST0213,2022-07-22,8937196,173
SAL0341,LST0266,2023-12-26,9777933,116
SAL0342,LST0010,2023-01-29,10142875,163
SAL0343,LST0071,2024-04-26,17351497,30
SAL0344,LST0050,2024-01-14,10643290,31
SAL0345,LST0038,2024-03-11,18110868,9
SAL0346,LST0324,2024-01-10,50059069,110
SAL0347,LST0287,2024-03-09,9831276,164
SAL0348,LST0286,2023-12-22,35046533,30
SAL0349,LST0024,2023-01-13,40247288,133
SAL0350,LST0285,2023-07-12,7291606,13
SAL0351,LST0353,2024-02-26,6762387,112
SAL0352,LST0105,2024-10-09,14743961,121
SAL0353,LST0135,2023-10-26,19378200,34
SAL0354,LST0279,2022-06-21,16750065,125
SAL0355,LST0060,2023-04-28,22046718,94
SAL0356,LST0479,2022-05-22,33246038,123
SAL0357,LST0335,2022-08-19,28619754,170
SAL0358,LST0155,2023-04-22,34868740,106
SAL0359,LST0334,2024-09-08,33788270,100
SAL0360,LST0016,2024-10-26,10404513,134
SAL0361,LST0226,2022-11-10,1571375,173
SAL0362,LST0143,2023-12-04,13678325,111
SAL0363,LST0341,2024-05-26,35633469,6
SAL0364,LST0078,2022-08-29,30797523,111
SAL0365,LST0395,2024-02-06,23546327,11
SAL0366,LST0234,2023-08-13,28046359,100
SAL0367,LST0265,2024-05-29,23976556,137
SAL0368,LST0406,2023-08-11,31271548,158
SAL0369,LST0498,2024-05-05,35290114,48
SAL0370,LST0232,2022-05-15,26486447,115
SAL0371,LST0343,2022-07-26,13628638,105
SAL0372,LST0082,2024-02-11,11802787,169
SAL0373,LST0013,2023-03-11,30811080,18
SAL0374,LST0167,2023-03-19,34303978,152
SAL0375,LST0405,2023-02-27,3132375,167
SAL0376,LST0001,2022-06-11,11157046,49
SAL0377,LST0007,2022-06-16,18838847,86
SAL0378,LST0242,2024-06-24,10714824,116
SAL0379,LST0290,2024-04-20,47591236,37
SAL0380,LST0239,2022-09-04,25182344,166
